recipe,calories,carbohydrate,sugar,protein,category,servings,high_traffic
1,288.55,21.48,4.55,10.8,Pork,6.0,1
2,35.48,38.56,0.66,0.92,Potato,4.0,1
3,914.28,42.68,3.09,2.88,Breakfast,1.0,0
4,97.03,30.56,21.965000000000003,0.02,Beverages,4.0,1
5,27.05,1.85,0.8,0.53,Beverages,4.0,0
6,691.15,3.46,1.65,53.93,One Dish Meal,2.0,1
7,183.94,47.95,9.75,46.71,Chicken,4.0,0
8,299.14,3.17,0.4,32.4,Lunch/Snacks,4.0,0
9,538.52,3.78,3.37,3.79,Pork,6.0,1
10,248.28,48.54,3.99,70.70750000000001,Chicken,2.0,0
11,170.12,17.63,4.1,0.91,Beverages,1.0,0
12,155.8,8.27,9.78,11.55,Breakfast,6.0,0
13,274.63,23.49,1.56,2.57,Potato,4.0,1
14,25.23,11.51,10.32,9.57,Vegetable,4.0,1
15,217.14,6.69,10.0,15.17,Meat,4.0,1
16,316.45,2.65,4.68,70.70750000000001,Meat,6.0,1
17,454.27,1.87,2.95,61.07,Meat,2.0,1
18,1328.48,0.1,0.39,33.17,Meat,1.0,1
19,1090.75,4.65,0.69,3.49,Meat,6.0,1
20,127.55,27.55,1.51,8.91,Chicken,2.0,0
21,9.26,17.44,8.16,10.81,Potato,6.0,1
22,40.53,87.91,21.965000000000003,11.93,Dessert,4.0,0
23,82.73,3.17,7.95,26.04,Breakfast,4.0,0
24,288.55,21.48,4.55,10.8,Meat,2.0,0
25,1161.49,1.53,8.88,12.57,Breakfast,1.0,1
26,56.29,22.35,11.38,34.79,One Dish Meal,4.0,1
27,411.16,51.7,21.965000000000003,70.3,Pork,2.0,1
28,574.75,13.12,1.84,13.85,Potato,4.0,1
29,595.39,62.67,2.64,4.96,Potato,2.0,1
30,164.76,33.58,17.87,70.70750000000001,One Dish Meal,2.0,1
31,215.98,52.66,6.25,32.32,Pork,2.0,1
32,617.11,23.1,21.965000000000003,45.89,Breakfast,6.0,0
33,347.06,9.5,5.92,70.70750000000001,Chicken,4.0,0
34,497.17,1.47,1.51,2.97,Lunch/Snacks,6.0,1
35,575.63,20.71,0.2,6.24,Breakfast,6.0,1
36,796.89,29.1,9.63,2.28,Lunch/Snacks,2.0,0
37,1321.78,70.07,7.75,19.51,Breakfast,1.0,0
38,44.55,99.82,2.62,15.57,Breakfast,4.0,0
39,264.62,1.5,18.44,32.62,Chicken,4.0,0
40,44.81,4.62,0.4,5.9,Vegetable,4.0,1
41,621.54,14.16,10.7,39.69,Chicken,6.0,1
42,290.1,4.43,1.05,40.64,Breakfast,4.0,0
43,576.89,4.79,20.92,4.29,One Dish Meal,2.0,0
44,262.12,17.46,0.33,70.70750000000001,Chicken,4.0,0
45,64.29,16.95,0.77,11.2,Breakfast,1.0,0
46,83.39,13.06,1.62,3.44,Vegetable,6.0,1
47,69.01,39.17,21.965000000000003,0.17,Beverages,4.0,0
48,43.91,48.16,4.58,7.92,Breakfast,4.0,0
49,288.55,21.48,4.55,10.8,Chicken,4.0,0
50,1328.48,45.52,0.07,49.37,Breakfast,1.0,1
51,293.36,19.16,9.4,1.32,Pork,2.0,0
52,1279.53,19.56,1.08,18.2,Pork,4.0,1
53,367.3,89.84,6.96,70.70750000000001,Chicken,2.0,0
54,74.56,47.47,16.36,45.15,Pork,4.0,1
55,131.51,33.32,1.7,70.70750000000001,Pork,6.0,1
56,1328.48,25.99,0.52,70.70750000000001,Pork,1.0,1
57,47.17,60.93,13.82,10.8,Vegetable,4.0,1
58,191.78,9.17,0.65,66.69,Chicken,1.0,0
59,6.23,56.43,5.6,2.12,Lunch/Snacks,6.0,1
60,384.93,74.38,21.965000000000003,2.17,Dessert,2.0,0
61,616.95,69.45,7.77,3.12,Dessert,4.0,1
62,187.87,55.51,9.99,70.70750000000001,One Dish Meal,4.0,0
63,160.05,42.45,1.6,44.38,One Dish Meal,2.0,1
64,813.08,88.55,0.47,70.70750000000001,Chicken,1.0,1
65,566.2,1.72,2.54,4.24,Meat,4.0,1
66,260.33,0.51,1.24,4.53,Dessert,1.0,0
67,61.78,13.87,10.68,0.72,Beverages,2.0,0
68,717.72,71.21,14.02,7.1,Breakfast,4.0,0
69,1105.15,6.63,3.79,70.70750000000001,Chicken,1.0,0
70,799.39,23.14,3.33,19.75,One Dish Meal,1.0,0
71,100.0,95.89,10.2,70.70750000000001,Lunch/Snacks,4.0,0
72,1328.48,18.11,10.6,70.70750000000001,Chicken,4.0,0
73,38.22,13.09,3.8,2.09,Beverages,1.0,0
74,288.6,10.5,8.83,70.70750000000001,One Dish Meal,4.0,0
75,320.57,83.79,16.24,2.07,Dessert,1.0,1
76,767.16,24.76,0.57,31.07,Potato,4.0,1
77,557.66,36.78,3.0,19.55,One Dish Meal,1.0,1
78,65.52,2.67,0.07,0.51,Dessert,2.0,0
79,791.49,98.51,5.8,70.70750000000001,Breakfast,1.0,0
80,19.91,35.47,2.17,11.82,Breakfast,1.0,1
81,81.56,33.08,2.34,11.2,Breakfast,4.0,1
82,65.69,7.99,9.23,14.52,Breakfast,4.0,1
83,288.55,21.48,4.55,10.8,Meat,4.0,1
84,886.47,78.02,16.39,2.37,Breakfast,2.0,0
85,85.17,29.96,0.57,5.24,Chicken,2.0,1
86,662.78,47.61,4.08,2.39,Meat,1.0,1
87,113.03,23.45,0.47,62.08,Meat,4.0,1
88,374.27,74.16,5.91,0.38,Lunch/Snacks,2.0,0
89,193.17,4.49,3.01,46.9,Breakfast,4.0,1
90,288.55,21.48,4.55,10.8,Pork,6.0,1
91,388.37,13.67,11.13,2.67,Breakfast,6.0,0
92,106.87,0.88,7.28,5.67,Vegetable,4.0,1
93,34.77,10.48,12.33,8.63,Breakfast,6.0,0
94,113.84,37.57,1.21,21.31,Chicken,4.0,0
95,826.83,99.85000000000001,6.48,3.04,Potato,4.0,1
96,356.64,1.24,21.965000000000003,0.48,Beverages,4.0,0
97,88.57,14.31,21.965000000000003,5.67,Dessert,1.0,1
98,1328.48,8.09,4.78,28.48,One Dish Meal,2.0,1
99,131.8,29.18,5.85,8.42,Breakfast,2.0,1
100,672.26,88.81,6.31,20.89,Lunch/Snacks,2.0,0
101,266.41,58.44,4.19,10.96,Chicken,4.0,0
102,198.98,87.68,0.39,39.12,Vegetable,4.0,1
103,165.2,8.24,0.4,2.5,Chicken,4.0,0
104,1075.91,3.67,15.1,45.62,Meat,4.0,1
105,413.67,20.8,5.75,54.13,Breakfast,1.0,0
106,396.37,16.85,2.48,0.27,Beverages,1.0,1
107,766.01,9.43,0.82,66.71,Meat,1.0,0
108,196.68,2.28,9.12,2.17,Vegetable,1.0,1
109,612.64,38.55,10.06,5.65,Dessert,6.0,1
110,161.32,32.21,7.15,6.09,Lunch/Snacks,4.0,1
111,46.99,24.72,2.13,10.8,Breakfast,4.0,0
112,409.66,31.32,13.83,29.86,Meat,1.0,1
113,719.02,49.37,1.22,5.72,Potato,4.0,1
114,76.77,48.84,21.965000000000003,4.88,Meat,2.0,1
115,177.84,10.67,2.21,3.02,Lunch/Snacks,2.0,1
116,26.76,5.17,2.39,4.45,Vegetable,4.0,1
117,288.55,21.48,4.55,10.8,Chicken,6.0,1
118,209.65,49.36,0.96,2.15,Breakfast,4.0,0
119,28.83,31.55,21.965000000000003,3.57,Dessert,2.0,0
120,443.2,16.2,10.35,0.01,Vegetable,4.0,1
121,1114.94,31.45,13.02,1.33,Meat,2.0,1
122,288.55,21.48,4.55,10.8,Dessert,2.0,1
123,384.59,1.93,8.6,0.86,Beverages,1.0,0
124,38.92,12.9,11.32,69.53,Chicken,1.0,0
125,1328.48,3.52,1.89,70.70750000000001,Pork,6.0,1
126,180.42,9.64,6.87,15.59,Breakfast,4.0,1
127,324.0,79.18,1.7,7.03,One Dish Meal,4.0,1
128,960.75,99.85000000000001,4.13,70.70750000000001,One Dish Meal,4.0,1
129,72.71,38.4,4.37,7.44,Breakfast,4.0,0
130,528.9,18.65,3.31,6.04,Potato,4.0,0
131,190.52,2.57,0.56,1.58,Beverages,6.0,0
132,160.08,14.21,10.22,3.81,Potato,4.0,1
133,93.62,3.74,21.965000000000003,4.62,Dessert,4.0,1
134,959.51,4.4,21.965000000000003,12.12,Dessert,1.0,0
135,104.25,44.61,5.12,2.89,Vegetable,4.0,1
136,115.95,99.85000000000001,7.9,49.63,One Dish Meal,4.0,1
137,288.55,21.48,4.55,10.8,One Dish Meal,2.0,1
138,24.05,59.63,0.31,70.70750000000001,Chicken,4.0,1
139,96.06,51.94,2.65,13.07,Breakfast,6.0,1
140,13.62,92.02,0.89,44.92,One Dish Meal,1.0,1
141,4.22,3.46,10.93,0.74,Beverages,6.0,0
142,24.21,67.02,13.47,7.82,Breakfast,6.0,0
143,94.41,25.98,21.965000000000003,1.49,Dessert,4.0,1
144,42.01,12.0,11.7,1.32,Beverages,1.0,0
145,296.92,1.42,11.15,25.19,Breakfast,2.0,1
146,258.16,7.53,1.2,40.32,Chicken,6.0,0
147,229.58,39.93,1.09,6.66,Potato,4.0,1
148,1328.48,15.49,5.23,53.23,Chicken,1.0,0
149,205.98,61.85,2.89,14.45,Chicken,4.0,1
150,288.55,21.48,4.55,10.8,Potato,2.0,1
151,286.54,21.1,1.53,4.1,Breakfast,6.0,1
152,311.39,43.2,1.13,3.36,Vegetable,1.0,1
153,178.98,4.34,17.29,18.49,Vegetable,4.0,1
154,272.31,73.05,7.68,0.29,Beverages,2.0,0
155,188.42,34.29,5.55,3.15,Breakfast,4.0,1
156,836.95,32.82,21.965000000000003,0.32,Beverages,2.0,0
157,81.01,0.35,1.27,1.19,Beverages,4.0,0
158,766.8,13.6,8.27,17.85,Lunch/Snacks,6.0,0
159,335.43,23.88,2.77,38.18,Vegetable,6.0,1
160,777.37,99.85000000000001,2.52,5.12,Dessert,4.0,1
161,353.58,12.82,1.02,6.39,One Dish Meal,1.0,1
162,859.11,73.16,14.6,3.3,Dessert,6.0,1
163,935.77,8.74,2.39,70.70750000000001,Chicken,2.0,0
164,379.87,13.94,0.57,43.68,Chicken,4.0,1
165,18.62,22.46,10.06,1.12,Beverages,6.0,0
166,181.1,7.33,2.4,70.70750000000001,Chicken,1.0,1
167,25.83,0.13,2.24,28.6,Chicken,6.0,0
168,4.41,99.85000000000001,19.54,3.76,Dessert,1.0,1
169,1044.92,24.34,5.6,4.66,Chicken,4.0,0
170,607.13,23.0,21.965000000000003,26.15,Breakfast,4.0,1
171,431.28,14.69,4.17,32.79,One Dish Meal,2.0,1
172,76.08,13.95,8.59,1.05,Beverages,4.0,0
173,98.76,7.28,16.56,1.15,Beverages,4.0,0
174,180.52,12.4,21.965000000000003,5.08,Dessert,2.0,1
175,16.58,5.66,14.41,19.94,Breakfast,6.0,1
176,382.85,3.38,21.965000000000003,0.36,Beverages,2.0,0
177,918.21,13.01,7.68,70.70750000000001,Chicken,4.0,0
178,114.0,99.85000000000001,3.1,26.36,Lunch/Snacks,4.0,0
179,336.52,1.05,1.89,5.22,Lunch/Snacks,2.0,0
180,410.34,28.09,3.5,70.70750000000001,Chicken,4.0,1
181,44.77,11.91,7.93,1.07,Potato,6.0,1
182,580.94,23.16,20.99,5.63,Dessert,6.0,1
183,699.44,56.65,3.2,3.48,Vegetable,4.0,1
184,61.8,6.28,0.72,15.46,Vegetable,4.0,0
185,62.59,23.96,6.25,30.83,One Dish Meal,6.0,0
186,1266.75,99.85000000000001,0.59,0.46,Lunch/Snacks,4.0,1
187,515.49,5.88,13.29,13.96,Lunch/Snacks,1.0,1
188,288.55,21.48,4.55,10.8,Pork,4.0,1
189,181.86,33.04,21.965000000000003,5.48,Dessert,4.0,1
190,529.68,23.75,2.28,15.81,Breakfast,1.0,1
191,1328.48,1.63,6.39,70.31,Meat,4.0,0
192,646.15,22.1,21.965000000000003,16.73,Dessert,6.0,0
193,1243.9,74.77,0.75,8.2,Lunch/Snacks,2.0,0
194,497.71,3.73,18.85,8.09,Chicken,2.0,1
195,267.51,15.99,5.77,0.95,Dessert,1.0,0
196,336.27,37.38,6.53,23.12,Lunch/Snacks,1.0,1
197,216.1,7.93,1.2,70.70750000000001,Chicken,6.0,0
198,278.05,9.85,12.93,26.75,Chicken,6.0,1
199,641.05,26.99,1.08,20.2,Meat,1.0,0
200,52.32,2.84,2.96,70.70750000000001,Meat,4.0,1
201,89.72,10.83,2.26,4.52,Vegetable,2.0,1
202,113.97,12.54,0.64,7.93,Vegetable,6.0,1
203,648.05,19.28,0.19,35.28,Breakfast,2.0,0
204,66.16,10.45,1.07,8.81,One Dish Meal,2.0,1
205,258.33,5.22,8.23,29.05,Breakfast,1.0,1
206,283.72,34.05,1.63,0.92,Lunch/Snacks,6.0,1
207,551.7,1.11,5.9,70.70750000000001,Pork,4.0,1
208,20.98,1.26,9.8,0.82,Beverages,1.0,0
209,10.21,44.63,17.74,13.51,Pork,4.0,1
210,288.55,21.48,4.55,10.8,Dessert,2.0,1
211,1165.14,0.14,4.36,9.64,Potato,1.0,1
212,310.1,48.58,21.965000000000003,40.12,Pork,4.0,1
213,288.55,21.48,4.55,10.8,Dessert,4.0,1
214,816.25,5.42,8.24,37.47,Meat,1.0,1
215,299.32,9.58,2.5,70.70750000000001,Chicken,6.0,1
216,280.13,1.1,7.58,0.56,Beverages,2.0,0
217,25.51,40.64,1.67,3.26,Lunch/Snacks,2.0,1
218,1292.18,89.2,14.22,70.70750000000001,Chicken,4.0,1
219,166.44,0.53,21.965000000000003,4.86,Dessert,6.0,1
220,1328.48,10.34,5.22,70.70750000000001,Chicken,1.0,0
221,625.76,23.38,11.99,25.79,Breakfast,2.0,1
222,288.55,21.48,4.55,10.8,Dessert,1.0,0
223,48.11,5.13,0.29,0.51,Lunch/Snacks,4.0,1
224,62.85,29.98,4.41,40.65,Chicken,4.0,0
225,191.89,19.29,5.49,3.71,Potato,4.0,1
226,133.8,5.48,0.44,57.76,Pork,6.0,1
227,1328.48,6.4,2.17,28.2,Pork,6.0,1
228,124.79,99.85000000000001,1.76,23.07,Breakfast,1.0,1
229,0.14,18.12,11.15,70.70750000000001,Lunch/Snacks,2.0,1
230,393.73,39.26,1.33,17.38,Chicken,1.0,0
231,418.22,32.08,19.78,0.29,Beverages,1.0,0
232,247.79,32.82,4.57,10.06,Vegetable,2.0,1
233,207.37,12.05,21.965000000000003,0.38,Beverages,4.0,0
234,523.69,1.98,0.72,41.55,Chicken,6.0,1
235,627.16,34.96,21.965000000000003,16.15,Dessert,6.0,0
236,357.15,39.67,2.24,38.63,Chicken,4.0,0
237,482.99,53.73,6.53,3.46,Dessert,6.0,1
238,158.64,45.71,4.66,70.70750000000001,Chicken,2.0,0
239,581.7,11.48,7.94,13.64,Chicken,4.0,1
240,593.56,99.85000000000001,0.6,2.56,Chicken,2.0,0
241,539.78,14.84,17.29,21.55,One Dish Meal,2.0,0
242,791.99,56.12,2.47,2.77,Potato,4.0,1
243,1328.48,72.86,1.49,40.33,Chicken,4.0,1
244,653.9,99.85000000000001,5.04,0.36,Potato,6.0,1
245,160.43,11.37,0.6,0.24,Potato,6.0,1
246,337.48,27.98,2.26,19.05,Potato,2.0,1
247,71.97,16.94,0.95,3.37,Vegetable,2.0,1
248,542.49,6.93,21.965000000000003,29.67,Lunch/Snacks,4.0,0
249,208.87,32.34,7.41,6.42,Chicken,6.0,0
250,288.55,21.48,4.55,10.8,Chicken,6.0,0
251,768.51,2.32,4.71,11.19,Chicken,4.0,0
252,129.03,51.57,7.66,6.05,Lunch/Snacks,4.0,1
253,44.02,6.95,1.23,2.37,Vegetable,4.0,1
254,239.36,56.72,18.03,0.13,Beverages,1.0,0
255,359.0,1.65,1.11,20.55,Chicken,4.0,1
